check_id,layer,tool,tool_version,parameters,result,observed
EVC-001,正本再生成,Python,3.12,generate_review_data.py; canonical_commit=bfd1a104189827dff1d2febc13a0cce48120c6de,合格,99 files; 353 explanation states; 194 resolved primary sources
EVC-002,センテンス根拠台帳,Python,3.12,generate_evidence_coverage.py,合格,4732 rows; required=1174; covered=522; uncovered=652
EVC-003,台帳整合性,Python,3.12,check_evidence_coverage.py,合格,unique IDs; exact uncovered projection; eligible sources; manifest hashes
EVC-004,Lean build,Lean,4.30.0,lake build,再検証待ち,480 theorem and lemma declarations; kernel build delegated to CI
EVC-005,Lean禁止構文監査,Lean strict audit,skill script,sorry; admit; axiom; unsafe; native_decide,合格,0 trust-sensitive review items
EVC-006,Leanトレーサビリティ,Lean traceability validator,skill script,traceability.json; source declarations,合格,12 requirements; 480 theorem and lemma declarations
EVC-007,具体技術型検査,Quint,0.32.0,typecheck retrieval_techniques.qnt,合格,exit 0
EVC-008,具体技術決定的シナリオ,Quint TypeScript backend,0.32.0,max-samples=1; seed=0x726167,合格,14 passing
EVC-009,具体技術ランダムトレース,Quint TypeScript backend,0.32.0,max-samples=5000; max-steps=12; seed=0x726167,合格,No violation found
EVC-010,具体技術境界付き状態空間検査,Quint + Apalache,0.32.0 + 0.56.1,max-steps=3; invariant=allInvariants,合格,No violation found; 13 verification conditions
EVC-011,意味論台帳生成,Python,3.12,generate_semantic_assurance.py,合格,required=1174; controlled=39; atom entailments=39; full sentence proofs=0
EVC-012,意味論台帳整合性,Python,3.12,check_semantic_assurance.py,合格,exact required projection; nonvacuous atoms; no unsupported full-sentence proof claim
EVC-013,BM25・RRF記号式,Lean,4.30.0,RetrievalTruth.lean,合格,7 theorems; inhabited formula models; no axioms
EVC-014,一次資料主張の独立真偽確認,Reproduction/runtime evidence,n/a,empirical rerun or hosted-service probe,未実施,empirical=0/128; official runtime=0/26; overall=0/1174
EVC-015,一次資料ページ検査,公式論文・仕様ページ,primary pages,194 source URLs,合格,inspected=194/194; explicit abstracts=128/194; primary pages=50; official specifications=16
EVC-016,文献要旨・文論理台帳生成,Python,3.12,generate_literature_entailment.py,合格,sources=194; required=1174; decomposed=995; candidate_sourced=1174; conditional_proofs=446; curated_source_projections=16; end_to_end=0
EVC-017,文献要旨・文論理台帳整合性,Python,3.12,check_literature_entailment.py,合格,exact source and sentence projections; candidate-source integrity; proof-status consistency; manifest hashes
EVC-018,文献要旨からの条件付き導出,Lean,4.30.0,Derives.sound; 446 literature_SENT_* theorems,再検証待ち,446/1174 model theorems generated under explicit source-summary premises; kernel build delegated to CI; natural-language adequacy remains INCONCLUSIVE
