sentence_id,unit_id,file,line_start,sentence,claim_type,logical_operator,guide_formula,guide_atoms,candidate_source_ids,candidate_source_urls,source_mapping_basis,source_mapping_validation,source_projection_adequacy,source_theorem_symbols,source_formula_atoms,unsupported_atoms,logical_proof_status,logical_proof_assurance,lean_theorem,natural_language_adequacy,end_to_end_assurance,proof_reason,validation_boundary
SENT-0002,1.1.1,docs/1.RAGとは何か/1.1.RAGとは.md,6,LewisらのRAG研究では、言語モデルの内部知識と外部の検索可能な記憶を組み合わせています。,externally_cited_claim,AND,"AND(AND(AND(ATOM(retrieval=true), ATOM(generation=true)), ATOM(parametric_memory=true)), ATOM(nonparametric_memory=true))",generation=true;nonparametric_memory=true;parametric_memory=true;retrieval=true,SRC-001,https://proceedings.neurips.cc/paper/2020/hash/6b493230205f780e1bc26945df7481e5-Abstract.html,existing_direct_paragraph_or_technology_mapping,EXISTING_MAPPING_REQUIRES_SEMANTIC_REVIEW,CONTROLLED_TERM_PROJECTION_REQUIRES_CLAIM_POLARITY_REVIEW,SRC_001_sourceTheorem,empirical_result=true;evaluation=true;external_knowledge=true;generation=true;knowledge_intensive=true;nonparametric_memory=true;open_domain_qa=true;parametric_memory=true;rag=true;retrieval=true;verification=true,,PROVED_SOURCE_SUMMARY_ENTAILS_GUIDE_FORMULA,MODEL_PROVED,literature_SENT_0002,INCONCLUSIVE_REQUIRES_BILINGUAL_DOMAIN_REVIEW,INCONCLUSIVE,Lean checks the positive propositional derivation under source-summary premises,Conditional proof only: source-summary formula truth and NL-to-formula adequacy are separate obligations.
SENT-0014,1.1.3,docs/1.RAGとは何か/1.1.RAGとは.md,27,工程ごとの成果物を評価すると、古い資料、検索の取りこぼし、根拠の誤読を区別して改善できます。,empirical_or_research_claim,AND,"AND(AND(AND(AND(ATOM(retrieval=true), ATOM(evidence_support=true)), ATOM(temporal_freshness=true)), ATOM(evaluation=true)), ATOM(empirical_result=true))",empirical_result=true;evaluation=true;evidence_support=true;retrieval=true;temporal_freshness=true,SRC-001,https://proceedings.neurips.cc/paper/2020/hash/6b493230205f780e1bc26945df7481e5-Abstract.html,same_file_candidate,CANDIDATE_REQUIRES_DOMAIN_REVIEW,CONTROLLED_TERM_PROJECTION_REQUIRES_CLAIM_POLARITY_REVIEW,SRC_001_sourceTheorem,empirical_result=true;evaluation=true;external_knowledge=true;generation=true;knowledge_intensive=true;nonparametric_memory=true;open_domain_qa=true;parametric_memory=true;rag=true;retrieval=true;verification=true,evidence_support=true;temporal_freshness=true,INCONCLUSIVE_UNSUPPORTED_ATOMS,INCONCLUSIVE,,INCONCLUSIVE_REQUIRES_BILINGUAL_DOMAIN_REVIEW,INCONCLUSIVE,guide formula contains atoms absent from the selected source summaries,Conditional proof only: source-summary formula truth and NL-to-formula adequacy are separate obligations.
SENT-0022,1.2.1,docs/1.RAGとは何か/1.2.LLM単体・検索システム・RAGの違い.md,11,Dense Passage Retrievalは、質問に関係する文章を密なベクトル表現で検索できることを示しました。,externally_cited_claim,AND,"AND(ATOM(dense=true), ATOM(retrieval=true))",dense=true;retrieval=true,SRC-002;SRC-043,https://aclanthology.org/2020.emnlp-main.550/;https://arxiv.org/abs/2004.04906,existing_direct_paragraph_or_technology_mapping,EXISTING_MAPPING_REQUIRES_SEMANTIC_REVIEW,CONTROLLED_TERM_PROJECTION_REQUIRES_CLAIM_POLARITY_REVIEW,SRC_002_sourceTheorem;SRC_043_sourceTheorem,benchmark=true;dense=true;document_statistics=true;dual_encoder=true;empirical_result=true;evaluation=true;length_normalization=true;lexical=true;open_domain_qa=true;recall_metric=true;retrieval=true;similarity=dot_product;tf_saturation=true;verification=true,,PROVED_SOURCE_SUMMARY_ENTAILS_GUIDE_FORMULA,MODEL_PROVED,literature_SENT_0022,INCONCLUSIVE_REQUIRES_BILINGUAL_DOMAIN_REVIEW,INCONCLUSIVE,Lean checks the positive propositional derivation under source-summary premises,Conditional proof only: source-summary formula truth and NL-to-formula adequacy are separate obligations.
SENT-0023,1.2.1,docs/1.RAGとは何か/1.2.LLM単体・検索システム・RAGの違い.md,12,RAGは、このような検索器の結果を言語モデルへ渡します。,general_technical_claim,AND,"AND(AND(ATOM(retrieval=true), ATOM(generation=true)), ATOM(empirical_result=true))",empirical_result=true;generation=true;retrieval=true,SRC-002,https://aclanthology.org/2020.emnlp-main.550/,existing_direct_paragraph_or_technology_mapping,EXISTING_MAPPING_REQUIRES_SEMANTIC_REVIEW,CONTROLLED_TERM_PROJECTION_REQUIRES_CLAIM_POLARITY_REVIEW,SRC_002_sourceTheorem,benchmark=true;dense=true;document_statistics=true;dual_encoder=true;empirical_result=true;evaluation=true;length_normalization=true;lexical=true;open_domain_qa=true;recall_metric=true;retrieval=true;similarity=dot_product;tf_saturation=true;verification=true,generation=true,INCONCLUSIVE_UNSUPPORTED_ATOMS,INCONCLUSIVE,,INCONCLUSIVE_REQUIRES_BILINGUAL_DOMAIN_REVIEW,INCONCLUSIVE,guide formula contains atoms absent from the selected source summaries,Conditional proof only: source-summary formula truth and NL-to-formula adequacy are separate obligations.
SENT-0037,1.3.3,docs/1.RAGとは何か/1.3.RAGが解決する問題.md,19,ALCEは、引用の正しさと、引用が必要な主張を覆う網羅性を分けて評価しています。,externally_cited_claim,AND,"AND(ATOM(citation=true), ATOM(evaluation=true))",citation=true;evaluation=true,SRC-003,https://aclanthology.org/2023.emnlp-main.398/,existing_direct_paragraph_or_technology_mapping,EXISTING_MAPPING_REQUIRES_SEMANTIC_REVIEW,CONTROLLED_TERM_PROJECTION_REQUIRES_CLAIM_POLARITY_REVIEW,SRC_003_sourceTheorem,citation=true;generation=true;retrieval=true,evaluation=true,INCONCLUSIVE_UNSUPPORTED_ATOMS,INCONCLUSIVE,,INCONCLUSIVE_REQUIRES_BILINGUAL_DOMAIN_REVIEW,INCONCLUSIVE,guide formula contains atoms absent from the selected source summaries,Conditional proof only: source-summary formula truth and NL-to-formula adequacy are separate obligations.
SENT-0041,1.3.4,docs/1.RAGとは何か/1.3.RAGが解決する問題.md,27,SQuAD 2.0は、回答可能な質問と回答不能な質問を区別する課題を扱いました。,externally_cited_claim,AND,"AND(AND(ATOM(generation=true), ATOM(unanswerable=true)), ATOM(answerability=true))",answerability=true;generation=true;unanswerable=true,SRC-004,https://aclanthology.org/P18-2124/,existing_direct_paragraph_or_technology_mapping,EXISTING_MAPPING_REQUIRES_SEMANTIC_REVIEW,CONTROLLED_TERM_PROJECTION_REQUIRES_CLAIM_POLARITY_REVIEW,SRC_004_sourceTheorem,answerability=true;generation=true;unanswerable=true;verification=true,,PROVED_SOURCE_SUMMARY_ENTAILS_GUIDE_FORMULA,MODEL_PROVED,literature_SENT_0041,INCONCLUSIVE_REQUIRES_BILINGUAL_DOMAIN_REVIEW,INCONCLUSIVE,Lean checks the positive propositional derivation under source-summary premises,Conditional proof only: source-summary formula truth and NL-to-formula adequacy are separate obligations.
SENT-0051,FILE-INTRO,docs/1.RAGとは何か/1.4.RAGが向くケース.md,14,| 技術調査 | 論文、設計資料、コード文書 | 複数資料を検索し、出典付きで整理します |,empirical_or_research_claim,AND,"AND(ATOM(retrieval=true), ATOM(citation=true))",citation=true;retrieval=true,SRC-003;SRC-001;SRC-002;SRC-005;SRC-006,https://aclanthology.org/2023.emnlp-main.398/;https://proceedings.neurips.cc/paper/2020/hash/6b493230205f780e1bc26945df7481e5-Abstract.html;https://aclanthology.org/2020.emnlp-main.550/;https://doi.org/10.1561/1500000019;https://datasets-benchmarks-proceedings.neurips.cc/paper/2021/hash/65b9eea6e1cc6bb9f0cd2a47751a186f-Abstract-round2.html,same_chapter_candidate,CANDIDATE_REQUIRES_DOMAIN_REVIEW,CONTROLLED_TERM_PROJECTION_REQUIRES_CLAIM_POLARITY_REVIEW,SRC_003_sourceTheorem;SRC_001_sourceTheorem;SRC_002_sourceTheorem;SRC_005_sourceTheorem;SRC_006_sourceTheorem,benchmark=true;citation=true;dense=true;document_statistics=true;dual_encoder=true;empirical_result=true;evaluation=true;evidence_support=true;external_knowledge=true;fielded=true;generation=true;knowledge_intensive=true;length_normalization=true;lexical=true;nonparametric_memory=true;open_domain_qa=true;parametric_memory=true;rag=true;recall_metric=true;retrieval=true;similarity=dot_product;sparse=true;tf_saturation=true;verification=true,,PROVED_SOURCE_SUMMARY_ENTAILS_GUIDE_FORMULA,MODEL_PROVED,literature_SENT_0051,INCONCLUSIVE_REQUIRES_BILINGUAL_DOMAIN_REVIEW,INCONCLUSIVE,Lean checks the positive propositional derivation under source-summary premises,Conditional proof only: source-summary formula truth and NL-to-formula adequacy are separate obligations.
SENT-0075,1.7.1,docs/1.RAGとは何か/1.7.RAG研究の流れ.md,5,RAGは、情報検索と自然言語生成の研究を組み合わせた方式です。,empirical_or_research_claim,AND,"AND(ATOM(retrieval=true), ATOM(generation=true))",generation=true;retrieval=true,SRC-001;SRC-003;SRC-002;SRC-005;SRC-006,https://proceedings.neurips.cc/paper/2020/hash/6b493230205f780e1bc26945df7481e5-Abstract.html;https://aclanthology.org/2023.emnlp-main.398/;https://aclanthology.org/2020.emnlp-main.550/;https://doi.org/10.1561/1500000019;https://datasets-benchmarks-proceedings.neurips.cc/paper/2021/hash/65b9eea6e1cc6bb9f0cd2a47751a186f-Abstract-round2.html,same_unit_candidate,CANDIDATE_REQUIRES_DOMAIN_REVIEW,CONTROLLED_TERM_PROJECTION_REQUIRES_CLAIM_POLARITY_REVIEW,SRC_001_sourceTheorem;SRC_003_sourceTheorem;SRC_002_sourceTheorem;SRC_005_sourceTheorem;SRC_006_sourceTheorem,benchmark=true;citation=true;dense=true;document_statistics=true;dual_encoder=true;empirical_result=true;evaluation=true;evidence_support=true;external_knowledge=true;fielded=true;generation=true;knowledge_intensive=true;length_normalization=true;lexical=true;nonparametric_memory=true;open_domain_qa=true;parametric_memory=true;rag=true;recall_metric=true;retrieval=true;similarity=dot_product;sparse=true;tf_saturation=true;verification=true,,PROVED_SOURCE_SUMMARY_ENTAILS_GUIDE_FORMULA,MODEL_PROVED,literature_SENT_0075,INCONCLUSIVE_REQUIRES_BILINGUAL_DOMAIN_REVIEW,INCONCLUSIVE,Lean checks the positive propositional derivation under source-summary premises,Conditional proof only: source-summary formula truth and NL-to-formula adequacy are separate obligations.
SENT-0076,1.7.1,docs/1.RAGとは何か/1.7.RAG研究の流れ.md,6,本書の第1章から第8章では、査読付き研究で繰り返し評価され、一般的なRAGにも適用できる次の知識を基礎にします。,empirical_or_research_claim,ATOM,ATOM(evaluation=true),evaluation=true,SRC-001;SRC-002;SRC-006,https://proceedings.neurips.cc/paper/2020/hash/6b493230205f780e1bc26945df7481e5-Abstract.html;https://aclanthology.org/2020.emnlp-main.550/;https://datasets-benchmarks-proceedings.neurips.cc/paper/2021/hash/65b9eea6e1cc6bb9f0cd2a47751a186f-Abstract-round2.html,same_unit_candidate,CANDIDATE_REQUIRES_DOMAIN_REVIEW,CONTROLLED_TERM_PROJECTION_REQUIRES_CLAIM_POLARITY_REVIEW,SRC_001_sourceTheorem;SRC_002_sourceTheorem;SRC_006_sourceTheorem,benchmark=true;dense=true;document_statistics=true;dual_encoder=true;empirical_result=true;evaluation=true;external_knowledge=true;generation=true;knowledge_intensive=true;length_normalization=true;lexical=true;nonparametric_memory=true;open_domain_qa=true;parametric_memory=true;rag=true;recall_metric=true;retrieval=true;similarity=dot_product;tf_saturation=true;verification=true,,PROVED_SOURCE_SUMMARY_ENTAILS_GUIDE_FORMULA,MODEL_PROVED,literature_SENT_0076,INCONCLUSIVE_REQUIRES_BILINGUAL_DOMAIN_REVIEW,INCONCLUSIVE,Lean checks the positive propositional derivation under source-summary premises,Conditional proof only: source-summary formula truth and NL-to-formula adequacy are separate obligations.
SENT-0077,1.7.1,docs/1.RAGとは何か/1.7.RAG研究の流れ.md,8,BM25の確率的検索モデル,externally_cited_claim,ATOM,ATOM(retrieval=true),retrieval=true,SRC-005,https://doi.org/10.1561/1500000019,existing_direct_paragraph_or_technology_mapping,EXISTING_MAPPING_REQUIRES_SEMANTIC_REVIEW,CONTROLLED_TERM_PROJECTION_REQUIRES_CLAIM_POLARITY_REVIEW,SRC_005_sourceTheorem,document_statistics=true;evidence_support=true;fielded=true;length_normalization=true;lexical=true;retrieval=true;sparse=true;tf_saturation=true,,PROVED_SOURCE_SUMMARY_ENTAILS_GUIDE_FORMULA,MODEL_PROVED,literature_SENT_0077,INCONCLUSIVE_REQUIRES_BILINGUAL_DOMAIN_REVIEW,INCONCLUSIVE,Lean checks the positive propositional derivation under source-summary premises,Conditional proof only: source-summary formula truth and NL-to-formula adequacy are separate obligations.
