sentence_id,paragraph_id,unit_id,chapter,file,line_start,line_end,sentence,claim_type,evidence_required,classification_reason,concrete_technologies,source_ids,source_urls,mapping_basis,source_count,coverage_status,semantic_review_status,review_note
SENT-0001,PAR-0001,1.1.1,1,docs/1.RAGとは何か/1.1.RAGとは.md,5,5,RAGは、外部の情報源から質問に関係する根拠を取得し、その根拠を条件として言語モデルに回答を生成させる方式です。,expository_or_structural,no,導入・例示・接続・構成説明,,,,,0,not_required,not_applicable,Lean 4は台帳整合性を証明する。資料が当該センテンスを意味的に十分支持するかは人手レビュー境界。
SENT-0002,PAR-0001,1.1.1,1,docs/1.RAGとは何か/1.1.RAGとは.md,6,6,LewisらのRAG研究では、言語モデルの内部知識と外部の検索可能な記憶を組み合わせています。,externally_cited_claim,yes,センテンス内に外部一次資料への明示リンク,,SRC-001,https://proceedings.neurips.cc/paper/2020/hash/6b493230205f780e1bc26945df7481e5-Abstract.html,direct_inline,1,covered_direct,machine_mapped_requires_human_confirmation,Lean 4は台帳整合性を証明する。資料が当該センテンスを意味的に十分支持するかは人手レビュー境界。
SENT-0003,PAR-0002,1.1.1,1,docs/1.RAGとは何か/1.1.RAGとは.md,8,8,業務システムでは、学習時の方式に限らず、質問時に文書を検索して回答へ渡す構成もRAGと呼びます。,expository_or_structural,no,導入・例示・接続・構成説明,,,,,0,not_required,not_applicable,Lean 4は台帳整合性を証明する。資料が当該センテンスを意味的に十分支持するかは人手レビュー境界。
SENT-0004,PAR-0002,1.1.1,1,docs/1.RAGとは何か/1.1.RAGとは.md,9,9,本書もこの実務上の広い意味で扱います。,normative_design_statement,no,本ガイドが定める設計・評価手順,,,,,0,not_required,not_applicable,Lean 4は台帳整合性を証明する。資料が当該センテンスを意味的に十分支持するかは人手レビュー境界。
SENT-0005,PAR-0003,1.1.2,1,docs/1.RAGとは何か/1.1.RAGとは.md,13,13,RAGは、次の四工程で捉えると全体像を把握できます。,expository_or_structural,no,導入・例示・接続・構成説明,,,,,0,not_required,not_applicable,Lean 4は台帳整合性を証明する。資料が当該センテンスを意味的に十分支持するかは人手レビュー境界。
SENT-0006,PAR-0004,1.1.2,1,docs/1.RAGとは何か/1.1.RAGとは.md,15,15,検索前処理：文書を解析し、検索できる単位へ分けて索引へ登録します。,expository_or_structural,no,導入・例示・接続・構成説明,,,,,0,not_required,not_applicable,Lean 4は台帳整合性を証明する。資料が当該センテンスを意味的に十分支持するかは人手レビュー境界。
SENT-0007,PAR-0005,1.1.2,1,docs/1.RAGとは何か/1.1.RAGとは.md,16,16,検索：質問に関係する根拠候補を集めます。,expository_or_structural,no,導入・例示・接続・構成説明,,,,,0,not_required,not_applicable,Lean 4は台帳整合性を証明する。資料が当該センテンスを意味的に十分支持するかは人手レビュー境界。
SENT-0008,PAR-0006,1.1.2,1,docs/1.RAGとは何か/1.1.RAGとは.md,17,17,検索後処理：候補を選別し、回答に使う根拠を確定します。,expository_or_structural,no,導入・例示・接続・構成説明,,,,,0,not_required,not_applicable,Lean 4は台帳整合性を証明する。資料が当該センテンスを意味的に十分支持するかは人手レビュー境界。
SENT-0009,PAR-0007,1.1.2,1,docs/1.RAGとは何か/1.1.RAGとは.md,18,18,生成：根拠に基づく回答と引用を作り、根拠が足りなければ回答を保留します。,expository_or_structural,no,導入・例示・接続・構成説明,,,,,0,not_required,not_applicable,Lean 4は台帳整合性を証明する。資料が当該センテンスを意味的に十分支持するかは人手レビュー境界。
SENT-0010,PAR-0008,1.1.2,1,docs/1.RAGとは何か/1.1.RAGとは.md,20,20,第2章では、この四工程と第3章から第9章の対応を示します。,expository_or_structural,no,導入・例示・接続・構成説明,,,,,0,not_required,not_applicable,Lean 4は台帳整合性を証明する。資料が当該センテンスを意味的に十分支持するかは人手レビュー境界。
SENT-0011,PAR-0009,1.1.3,1,docs/1.RAGとは何か/1.1.RAGとは.md,24,24,RAGを適切に設計すると、情報源の更新、組織固有の情報の利用、引用元の提示、検索と生成の分離評価が可能になります。,expository_or_structural,no,導入・例示・接続・構成説明,,,,,0,not_required,not_applicable,Lean 4は台帳整合性を証明する。資料が当該センテンスを意味的に十分支持するかは人手レビュー境界。
SENT-0012,PAR-0009,1.1.3,1,docs/1.RAGとは何か/1.1.RAGとは.md,25,25,回答品質は、登録した資料の鮮度、検索の回収能力、言語モデルによる根拠の利用に左右されます。,expository_or_structural,no,導入・例示・接続・構成説明,,,,,0,not_required,not_applicable,Lean 4は台帳整合性を証明する。資料が当該センテンスを意味的に十分支持するかは人手レビュー境界。
SENT-0013,PAR-0010,1.1.3,1,docs/1.RAGとは何か/1.1.RAGとは.md,27,27,RAGの価値は、外部情報を利用し、回答の根拠と失敗箇所を検査できることにあります。,expository_or_structural,no,導入・例示・接続・構成説明,,,,,0,not_required,not_applicable,Lean 4は台帳整合性を証明する。資料が当該センテンスを意味的に十分支持するかは人手レビュー境界。
SENT-0014,PAR-0010,1.1.3,1,docs/1.RAGとは何か/1.1.RAGとは.md,27,27,本ガイドでは工程別の成果物を同じquestion IDへ結び、資料の古さ、検索の取りこぼし、取得済み根拠の誤読を別の失敗段階として診断します。,expository_or_structural,no,導入・例示・接続・構成説明,,,,,0,not_required,not_applicable,Lean 4は台帳整合性を証明する。資料が当該センテンスを意味的に十分支持するかは人手レビュー境界。
SENT-0015,PAR-0011,1.2.1,1,docs/1.RAGとは何か/1.2.LLM単体・検索システム・RAGの違い.md,5,5,同じ質問へ答える場合でも、方式ごとに情報源、出力、適する用途が異なります。,expository_or_structural,no,導入・例示・接続・構成説明,,,,,0,not_required,not_applicable,Lean 4は台帳整合性を証明する。資料が当該センテンスを意味的に十分支持するかは人手レビュー境界。
SENT-0016,PAR-0012,1.2.1,1,docs/1.RAGとは何か/1.2.LLM単体・検索システム・RAGの違い.md,7,7,LLM単体は、モデルの学習結果と入力文から回答を生成します。,expository_or_structural,no,導入・例示・接続・構成説明,,,,,0,not_required,not_applicable,Lean 4は台帳整合性を証明する。資料が当該センテンスを意味的に十分支持するかは人手レビュー境界。
SENT-0017,PAR-0012,1.2.1,1,docs/1.RAGとは何か/1.2.LLM単体・検索システム・RAGの違い.md,7,7,文章作成や一般知識の説明に向き、学習後に変わる情報は入力文で与えます。,expository_or_structural,no,導入・例示・接続・構成説明,,,,,0,not_required,not_applicable,Lean 4は台帳整合性を証明する。資料が当該センテンスを意味的に十分支持するかは人手レビュー境界。
SENT-0018,PAR-0013,1.2.1,1,docs/1.RAGとは何か/1.2.LLM単体・検索システム・RAGの違い.md,8,8,検索システムは、検索対象の文書から該当する文書または箇所を返します。,expository_or_structural,no,導入・例示・接続・構成説明,,,,,0,not_required,not_applicable,Lean 4は台帳整合性を証明する。資料が当該センテンスを意味的に十分支持するかは人手レビュー境界。
SENT-0019,PAR-0013,1.2.1,1,docs/1.RAGとは何か/1.2.LLM単体・検索システム・RAGの違い.md,8,8,原文の確認に向き、複数資料の統合と結論は利用者が行います。,expository_or_structural,no,導入・例示・接続・構成説明,,,,,0,not_required,not_applicable,Lean 4は台帳整合性を証明する。資料が当該センテンスを意味的に十分支持するかは人手レビュー境界。
SENT-0020,PAR-0014,1.2.1,1,docs/1.RAGとは何か/1.2.LLM単体・検索システム・RAGの違い.md,9,9,RAGは、検索対象の文書とLLMを組み合わせ、根拠に基づく回答と引用を返します。,expository_or_structural,no,導入・例示・接続・構成説明,,,,,0,not_required,not_applicable,Lean 4は台帳整合性を証明する。資料が当該センテンスを意味的に十分支持するかは人手レビュー境界。
SENT-0021,PAR-0014,1.2.1,1,docs/1.RAGとは何か/1.2.LLM単体・検索システム・RAGの違い.md,9,9,文書の探索、要約、統合に向き、検索品質、回答品質、引用による支持を一体で評価します。,normative_design_statement,no,本ガイドが定める設計・評価手順,,,,,0,not_required,not_applicable,Lean 4は台帳整合性を証明する。資料が当該センテンスを意味的に十分支持するかは人手レビュー境界。
SENT-0022,PAR-0015,1.2.1,1,docs/1.RAGとは何か/1.2.LLM単体・検索システム・RAGの違い.md,11,11,Dense Passage Retrievalは、質問に関係する文章を密なベクトル表現で検索できることを示しました。,externally_cited_claim,yes,センテンス内に外部一次資料への明示リンク,DPR,SRC-002;SRC-043,https://aclanthology.org/2020.emnlp-main.550/;https://arxiv.org/abs/2004.04906,direct_inline;concrete_technique_primary,2,covered_direct,machine_mapped_requires_human_confirmation,Lean 4は台帳整合性を証明する。資料が当該センテンスを意味的に十分支持するかは人手レビュー境界。
SENT-0023,PAR-0015,1.2.1,1,docs/1.RAGとは何か/1.2.LLM単体・検索システム・RAGの違い.md,12,12,RAGは、このような検索器の結果を言語モデルへ渡します。,general_technical_claim,yes,技術の性質・機構を説明する外部検証可能な記述,,SRC-002,https://aclanthology.org/2020.emnlp-main.550/,same_paragraph_primary,1,covered_contextual,machine_mapped_requires_human_confirmation,Lean 4は台帳整合性を証明する。資料が当該センテンスを意味的に十分支持するかは人手レビュー境界。
SENT-0024,PAR-0016,1.2.2,1,docs/1.RAGとは何か/1.2.LLM単体・検索システム・RAGの違い.md,16,16,ファインチューニングは、モデルの振る舞いや出力形式を調整する用途に向きます。,expository_or_structural,no,導入・例示・接続・構成説明,,,,,0,not_required,not_applicable,Lean 4は台帳整合性を証明する。資料が当該センテンスを意味的に十分支持するかは人手レビュー境界。
SENT-0025,PAR-0016,1.2.2,1,docs/1.RAGとは何か/1.2.LLM単体・検索システム・RAGの違い.md,17,17,頻繁に変わる事実を更新する目的では、情報源を差し替えられるRAGの方が管理しやすい場合があります。,expository_or_structural,no,導入・例示・接続・構成説明,,,,,0,not_required,not_applicable,Lean 4は台帳整合性を証明する。資料が当該センテンスを意味的に十分支持するかは人手レビュー境界。
SENT-0026,PAR-0017,1.2.2,1,docs/1.RAGとは何か/1.2.LLM単体・検索システム・RAGの違い.md,19,19,長いコンテキストは、少数の文書をそのまま入力できる場合に有効です。,expository_or_structural,no,導入・例示・接続・構成説明,,,,,0,not_required,not_applicable,Lean 4は台帳整合性を証明する。資料が当該センテンスを意味的に十分支持するかは人手レビュー境界。
SENT-0027,PAR-0017,1.2.2,1,docs/1.RAGとは何か/1.2.LLM単体・検索システム・RAGの違い.md,20,20,文書数が多い場合、権限や鮮度で選別する場合、または検索結果を監査する場合は、RAGと組み合わせます。,expository_or_structural,no,導入・例示・接続・構成説明,,,,,0,not_required,not_applicable,Lean 4は台帳整合性を証明する。資料が当該センテンスを意味的に十分支持するかは人手レビュー境界。
SENT-0028,PAR-0018,1.2.2,1,docs/1.RAGとは何か/1.2.LLM単体・検索システム・RAGの違い.md,22,22,ツール利用は、データベース照会、計算、状態変更など、文書検索だけでは完結しない処理に使います。,expository_or_structural,no,導入・例示・接続・構成説明,,,,,0,not_required,not_applicable,Lean 4は台帳整合性を証明する。資料が当該センテンスを意味的に十分支持するかは人手レビュー境界。
SENT-0029,PAR-0018,1.2.2,1,docs/1.RAGとは何か/1.2.LLM単体・検索システム・RAGの違い.md,23,23,RAGと競合する方式ではなく、処理の種類に応じて併用する方式です。,expository_or_structural,no,導入・例示・接続・構成説明,,,,,0,not_required,not_applicable,Lean 4は台帳整合性を証明する。資料が当該センテンスを意味的に十分支持するかは人手レビュー境界。
SENT-0030,PAR-0019,1.3.1,1,docs/1.RAGとは何か/1.3.RAGが解決する問題.md,5,5,モデルを再学習せずに検索対象を更新できることが、RAGの基本的な利点です。,expository_or_structural,no,導入・例示・接続・構成説明,,,,,0,not_required,not_applicable,Lean 4は台帳整合性を証明する。資料が当該センテンスを意味的に十分支持するかは人手レビュー境界。
SENT-0031,PAR-0019,1.3.1,1,docs/1.RAGとは何か/1.3.RAGが解決する問題.md,6,6,規程改訂や製品更新を反映するには、原文、索引、削除、版の切替を一体で管理します。,expository_or_structural,no,導入・例示・接続・構成説明,,,,,0,not_required,not_applicable,Lean 4は台帳整合性を証明する。資料が当該センテンスを意味的に十分支持するかは人手レビュー境界。
SENT-0032,PAR-0020,1.3.1,1,docs/1.RAGとは何か/1.3.RAGが解決する問題.md,8,8,検索対象を更新しただけでは、回答の鮮度は保証されません。,expository_or_structural,no,導入・例示・接続・構成説明,,,,,0,not_required,not_applicable,Lean 4は台帳整合性を証明する。資料が当該センテンスを意味的に十分支持するかは人手レビュー境界。
SENT-0033,PAR-0020,1.3.1,1,docs/1.RAGとは何か/1.3.RAGが解決する問題.md,9,9,古い版の除外、更新時刻の記録、索引への反映確認が必要です。,expository_or_structural,no,導入・例示・接続・構成説明,,,,,0,not_required,not_applicable,Lean 4は台帳整合性を証明する。資料が当該センテンスを意味的に十分支持するかは人手レビュー境界。
